Job Title,Company,Location,No. of Openings,Job Level,Salary,Experience,Job URL,Job Description
Japanese Language Teacher,Harbour International Education,"Kathmandu, Kathmandu District",1,Junior Level,Not mentioned,2 + years,https://www.kumarijob.com/harbour-international-education/59315-japanese-language-teacher,"Conduct engaging Language Classes.
Develop lesson plans, practice materials, and mock tests to enhance student performance.
Provide personalized feedback and strategies for score improvement.
Track student progress and guide them through the exam process.
Stay updated with the latest Japanese Language exam patterns and strategies.
Adapt teaching methods to cater to various language proficiency tests."
Ticketing Officer / Outbound Tour Officer,Desire Nepal Treks Travels and Tours Pvt Ltd,"Thamel, Kathmandu, Kathmandu District",4,Mid Level,"Nrs.  Monthly 
                                                                                                            (Negotiable)",1 + year,https://www.kumarijob.com/desire-nepal-treks-travels-and-tours-pvt-ltd/59133-ticketing-officer-outbound-tour-officer,"Preparing travel itineraries, package costing, and proposals. Also, design and create new tour packages as per the customer’s needs.
Providing quotes of travel related services to individual and corporate clients as well as follow up with them.
Responding to customer inquiries by phone, email, and social media, as well as assisting them in booking their vacation package.
To follow up on customer inquiries, make outbound calls to them.
Identifying the customer's need, establishing an immediate rapport, and providing advice to meet their needs.
Correspondence, negotiation and liaison with suppliers to obtain necessary information required for a travel holiday package.
To maximize the opportunities, up-sell and cross-sell additional travel products and services.
To be able to process VISA of clients of different countries.
Handle bookings for hotels, transportation and sites of excursion, also become responsible for tour operation.
Collect information from tours leader after leading tours to find out good feedback for the service improvement
Make research to find out more attractive tourism destination or sites
To demonstrate a total commitment to customer service and to ensure that every customer has a holiday that exceeds their expectations.
To create and sell fixed-departure or individually-designed tailor made tours for customers.
To maximize revenue and profit, every genuine single query must be converted to a sale."
Physiotherapist,Nirvana Physiotherapy & Wellness Center,"Bhaktapur and Lazimpat, Kathmandu District",3,Mid Level,"Nrs.  Monthly 
                                                                                                            (Negotiable)",1 + year,https://www.kumarijob.com/nirvana-physiotherapy-wellness-center/59680-physiotherapist,"Conduct patient assessments and design personalized treatment plans.
Provide treatments such as manual therapy, exercise therapy, and electrotherapy.
Monitor patient progress and adjust plans accordingly.
Educate patients on injury prevention and wellness.
Collaborate with a multidisciplinary team to ensure comprehensive care.
Maintain accurate patient records and comply with health protocols"
Principal,Makawanpur Everest English School,"Lewat, Hetauda, Makwanpur District",1,Top Level,Nrs. 100K-125K Monthly,5 + years,https://www.kumarijob.com/makawanpur-everest-english-school/59689-principal,"Provide clear leadership and vision for the school’s academic, cultural, and operational goals.
Establish and promote high expectations for staff and students.
Inspire and motivate staff to achieve excellence in teaching and student outcomes.
Foster a positive, inclusive, and supportive school culture."
Chief Operating Officer,Academy of Culinary Arts and Hospitality Management,"Lagankhel, Lalitpur",1,Top Level,(Negotiable),10 + years,https://www.kumarijob.com/academy-of-culinary-arts-and-hospitality-management/59378-chief-operating-officer,"Develop and implement operational strategies to support institutional goals. 
Oversee day-to-day administrative and academic operations. 
Optimize resource allocation and process efficiency. 
Collaborate with leadership on long-term planning and innovation. 
Ensure compliance with regulatory and quality standards."
Documentation Officer,Star H.R Agency Pvt. Ltd.,"Dhumbarahi , Pipalbot, Kathmandu District",4,Mid Level,"Nrs. (20K - 30K) Monthly 
                                                                                                            (Negotiable)",1 + year,https://www.kumarijob.com/star-hr-agency-pvt-ltd/59217-documentation-officer,"Prepare, verify, and process all recruitment-related documents.
Ensure all documents are complete, accurate, and meet compliance requirements.
Handle visa applications, demand letters, and employment contracts.
Maintain records of job orders, client communications, and recruitment processes."
Sales Executive (Domestic & International),Kalash Services Pvt. Ltd,"Lalitpur/Kathmandu/Bhaktapur, Kathmandu, Kathmandu District",50,Mid Level,Nrs. 20k-25k Monthly,1 + year,https://www.kumarijob.com/kalash-services-pvt-ltd/59632-sales-executive-domestic-international,"Identify and qualify potential clients through various channels such as cold calling, referrals, online research, and networking."
Graphic Designer,Fishtail Tours & Travels Pvt. Ltd.,"Baluwatar, Kathmandu, Kathmandu District",1,Mid Level,Nrs.  Monthly,1 + year,https://www.kumarijob.com/fishtail-tours-travels-pvt-ltd/59370-graphic-designer,"Design engaging graphics for marketing and promotional materials.
Develop visual content for social media, websites, and print.
Collaborate with the marketing team to ensure brand consistency.
Edit photos and create compelling visual storytelling."
Client Service Executive (Night Shift),B & B Soft Tech Kathmandu,Not mentioned,30,Entry Level,Nrs. (30K) Monthly,Not mentioned,https://www.kumarijob.com/b-b-soft-tech-kathmandu/59347-client-service-executive-night-shift,"Communicate with other organizations on behalf of the client
Provide excellent customer service
Enter data with high accuracy, keeping attention to the details daily
Maintain constant communication with supervisor
Take additional responsibilities as and when required."
Visa Officer,Skyline Travel and Tours Pvt Ltd,"Dhobidhara,Putalisadak (Milan Sadan Building 4th floor ) - near chiya ghar, Kathmandu, Kathmandu District, Kathmandu, Kathmandu District",2,Mid Level,Nrs. (Negotiable) Monthly,2 + years,https://www.kumarijob.com/skyline-travel-and-tours-pvt-ltd/59468-visa-officer,"Process visa applications for various countries, ensuring accuracy and completeness.
Review and verify client documents as per embassy requirements.
Provide guidance to clients on visa requirements, processing times, and interview preparation.
Coordinate with embassies, consulates, and visa application centers.
Track application statuses and update clients accordingly.
Maintain accurate records of visa applications and approvals.
Stay updated on immigration laws and policy changes.
Handle queries from clients and provide professional customer service.
Assist with other administrative and travel-related tasks as required."
Accountant,Kohinoor Investment & Securities Pvt. Ltd.,"Hattisar, Kathmandu, Kathmandu District",1,Junior Level,"Nrs.  Monthly 
                                                                                                            (Negotiable)",2 + years,https://www.kumarijob.com/kohinoor-investment-securities-pvt-ltd/59542-accountant,"Should have basic idea about Vat, Tax, Tally and Billing Procedure
Prepare management report purchase, sales, cash flow as required by the management.
Maintaining the cash and bank book for preparing daily cash reports
Ensure day to day activites related to account. 
Preparing, checking and verification of all kinds of vouchers
Maintaining and verification of sales, purchase & cash flow
Preparing the monthly report for submitting to management
Preparing the balance sheet, income statements and cash flow statements on monthly basis
Candidates studying ACCA will be given priority.
Daily bank reconciliation and NEPSE reconciliation"
Sales Marketing Officer.,Mansiri organisations,"Different Location All Over Country., Lalitpur, Lalitpur District",1,Mid Level,Not mentioned,1 + year,https://www.kumarijob.com/mansiri-organisations/59413-sales-marketing-officer,"Build and maintain strong relationships with contractors, project managers, and procurement officials.
Develop long-term partnerships with clients to ensure repeat business and customer satisfaction.
Promote and sell construction chemicals (admixtures) to contractors, engineers, and procurement teams.
Identify potential clients and projects to expand the customer base.
Conduct product presentations and demonstrations to showcase the benefits of construction chemicals.
Willingness to travel to different construction sites and contractor offices.
Regularly visit project locations to understand client requirements and provide technical assistance.
Prepare and submit sales reports, market feedback, and competitor analysis to senior management.
Coordinate with the internal team to ensure timely delivery and service fulfillment.
Assist in the execution of sales strategies to achieve company targets."
Sales Executive (Domestic & International),Kalash Services Pvt. Ltd,"Lalitpur/Kathmandu/Bhaktapur, Kathmandu, Kathmandu District",50,Mid Level,Nrs. 20k-25k Monthly,1 + year,https://www.kumarijob.com/kalash-services-pvt-ltd/59632-sales-executive-domestic-international,"Identify and qualify potential clients through various channels such as cold calling, referrals, online research, and networking."
Accountant,Mangaldeep Multi Business Pvt. Ltd.,"Bagbazar, Kathmandu",1,Mid Level,"Nrs. 25K-30K Monthly 
                                                                                                            (Negotiable)",2 + years,https://www.kumarijob.com/mangaldeep-multi-business-pvt-ltd/59599-accountant,"Manage day-to-day accounting operations including bookkeeping, ledger maintenance, and reconciliations.
Prepare financial statements, monthly reports, and budget forecasts.
Handle accounts payable and receivable, tax filings (VAT, TDS), and bank reconciliations.
Monitor financial transactions and reports to ensure accuracy and compliance.
Assist in internal and external audits.
Maintain documentation and filing systems for financial records.
Coordinate with other departments for budget planning and expense control.
Use accounting software (e.g., Tally, Swastik, or others as required)."
Sales Officer,A Reputed Multinational Company,Kathmandu District,2,Junior Level,Nrs. 25K-30K Monthly,2 + years,https://www.kumarijob.com/a-reputed-multinational-company/59524-sales-officer,"Achieve monthly and quarterly sales targets set for the assigned region.
Identify new business opportunities and expand the customer base."
WordPress Intern,Thakur International and Investment Pvt. Ltd.,"Chundevi Marg, Maharajgunj, Kathmandu-04, Kathmandu, Kathmandu District",3,Junior Level,Nrs.  Monthly,Fresher,https://www.kumarijob.com/thakur-international-and-investment-pvt-ltd/59526-wordpress-intern,"Assist in designing, developing, and maintaining WordPress websites.
Customize themes and plugins to enhance website functionality.
Optimize website speed, performance, and security.
Troubleshoot and resolve website issues.
Work with content creators to publish and format posts/pages.
Conduct website testing and debugging.
Learn and implement SEO best practices for WordPress.
Basic knowledge of WordPress, themes, and plugins.
Familiarity with HTML, CSS, and JavaScript (PHP knowledge is a plus).
Understanding of website performance optimization.
Ability to troubleshoot and resolve technical issues.
Eagerness to learn and work in a team environment.
Strong attention to detail and problem-solving skills."
Fullstack Developer,Hot Stone,Kathmandu District,1,Mid Level,"Nrs.  Monthly 
                                                                                                            (Negotiable)",3 + years,https://www.kumarijob.com/hot-stone/59706-fullstack-developer,"Languages & Technologies: HTML, CSS, JavaScript, and frameworks like React, Angular, or Vue.js.
Responsibilities: Creating the visual layout, user interface (UI), and ensuring the site works properly across different browsers and devices. The front-end is what users directly interact with.
Languages & Technologies: Node.js, Python (Django, Flask), Ruby (Ruby on Rails), Java (Spring), PHP, C#, etc.
Databases: SQL (e.g., MySQL, PostgreSQL) and NoSQL (e.g., MongoDB).
Responsibilities: Managing the logic, databases, server configuration, and APIs. This part of development is responsible for handling requests, processing data, and sending responses back to the front-end.
Tools: Git, GitHub, GitLab, etc.
Responsibilities: Version control is key to tracking changes in code, collaborating with other developers, and maintaining the stability of the project"
Graphic Designer,Fishtail Tours & Travels Pvt. Ltd.,"Baluwatar, Kathmandu, Kathmandu District",1,Mid Level,Nrs.  Monthly,1 + year,https://www.kumarijob.com/fishtail-tours-travels-pvt-ltd/59370-graphic-designer,"Design engaging graphics for marketing and promotional materials.
Develop visual content for social media, websites, and print.
Collaborate with the marketing team to ensure brand consistency.
Edit photos and create compelling visual storytelling."
Senior Accountant (CA/CAA),Nepal Zangni International Logistics (Automobile Divisons),"Bagdol, Lalitpur, Lalitpur District",1,Top Level,Nrs. 80K-100K,3 + years,https://www.kumarijob.com/nepal-zangni-international-logistics/59649-senior-accountant-cacaa,"Manage day-to-day accounting operations.
Maintain accurate records of purchases, sales, and inventory.
Handle accounts payable and receivable.
Prepare and analyze financial statements and reports.
Ensure timely VAT Return and TDS Return and other applicable taxes.
Reconcile bank statements and monitor cash flow.
Coordinate with freight forwarders, customs, and suppliers regarding financial documentation.
Assist in audits and ensure compliance with relevant laws and accounting standards.
Use accounting software"
Sales & Marketing,Hubeirongyi,"Koshi, Madhesh, Bagmati, Gandaki, Lumbini, Karnali & Sudurpaschim",20,Mid Level,"Nrs.  Monthly 
                                                                                                            (Negotiable)",Not mentioned,https://www.kumarijob.com/hubeirongyi/59738-sales-marketing,"Identify and visit retailers, wholesalers, hospitals, clinics, and schools to pitch products.
Build and maintain client relationships to generate repeat business.
Negotiate pricing, close deals, and ensure timely delivery coordination.
Achieve monthly and quarterly sales targets.
Collect feedback from clients and suggest improvements to the product or service
Strong communication & negotiation skills.
Willing to travel locally
Prior experience in FMCG, medical, toys, or furniture products is a plus.
Basic understanding of sales reporting and CRM is preferred
Good understanding of product branding and positioning"
Fullstack Developer,Hot Stone,Kathmandu District,1,Mid Level,"Nrs.  Monthly 
                                                                                                            (Negotiable)",3 + years,https://www.kumarijob.com/hot-stone/59706-fullstack-developer,"Languages & Technologies: HTML, CSS, JavaScript, and frameworks like React, Angular, or Vue.js.
Responsibilities: Creating the visual layout, user interface (UI), and ensuring the site works properly across different browsers and devices. The front-end is what users directly interact with.
Languages & Technologies: Node.js, Python (Django, Flask), Ruby (Ruby on Rails), Java (Spring), PHP, C#, etc.
Databases: SQL (e.g., MySQL, PostgreSQL) and NoSQL (e.g., MongoDB).
Responsibilities: Managing the logic, databases, server configuration, and APIs. This part of development is responsible for handling requests, processing data, and sending responses back to the front-end.
Tools: Git, GitHub, GitLab, etc.
Responsibilities: Version control is key to tracking changes in code, collaborating with other developers, and maintaining the stability of the project"
Student Wellness Officer (Part-time),Prime College,"Nayabazar, Kathmandu, Kathmandu District",1,Entry Level,Nrs.  Monthly,1 + year,https://www.kumarijob.com/prime-college/59298-student-wellness-officer-part-time,"Serve as a confidential, approachable, and non-judgmental resource for students seeking wellness support.
Provide initial emotional support to students who are experiencing challenges such as stress, anxiety, family issues, academic pressure, or personal crises.
Maintain clear boundaries by offering supportive listening—not therapy—and connecting students with licensed professionals or counseling services as needed.
Coordinate with academic and administrative teams to create a supportive environment for students.
Help organize wellness awareness programs, workshops, and campaigns in collaboration with the Ethics & Standard Office.
Maintain accurate and confidential records of student interactions and referrals.
Follow up with students (as appropriate) to ensure they are receiving the support they need.
Promote a culture of care and well-being on campus."
Reservation Officer,Fishtail Tours & Travels Pvt. Ltd.,"Baluwatar, Kathmandu, Kathmandu District",1,Mid Level,"Nrs.  Monthly 
                                                                                                            (Negotiable)",1 + year,https://www.kumarijob.com/fishtail-tours-travels-pvt-ltd/59597-reservation-officer,"Register all the requirement once reservation request sent by sales person
Call service supplier and book the requirement
Send RR / Email to supplier and get confirmed and receive confirmation
File confirmation on the sales file / record on the system
Register all the details on the register book
Write the reservation details on the file and sign
Prepare daily and monthly reservation report and submit to MD office."
Personal Assistant,INS PVT LTD,India,1,Junior Level,Nrs. 25K-30K Monthly,Not mentioned,https://www.kumarijob.com/ins-pvt-ltd/59380-personal-assistant,"Looking for a Personal Assistant to Director.
Position Based in India.
Should be able to Travel.
Good communication skills.
Well Presentable.
Food and Accommodation Provided.
Willing to Relocate"
Tour Manager,Skyline Travel and Tours Pvt Ltd,"Dhobidhara,Putalisadak (Milan Sadan Building 4th floor ) - near chiya ghar, Kathmandu, Kathmandu District",1,Senior Level,Nrs. (Negotiable) Monthly,3 + years,https://www.kumarijob.com/skyline-travel-and-tours-pvt-ltd/59467-tour-manager,"Design and manage tour packages, including domestic and international destinations.
Coordinate with hotels, airlines, transportation providers, and local guides.
Handle bookings, ticketing, and visa processing (if applicable).
Ensure smooth execution of travel itineraries and resolve any travel-related issues.
Provide excellent customer service and ensure client satisfaction.
Handle emergencies and unexpected travel disruptions.
Stay updated with travel regulations, policies, and industry trends.
Develop marketing strategies to promote tours and attract customers."
Receptionist,Nova International Pvt. Ltd,"Gaushala, Kathmandu District",1,Entry Level,"Nrs. 15k-20k Monthly 
                                                                                                            (Negotiable)",1 + year,https://www.kumarijob.com/nova-international-pvt--ltd/55704-receptionist,"Greet visitors appropriately.
Determine visitor needs in a professional manner.
Maintain visitor register.
Answer and address incoming phone calls in a timely and polite manner.
Clearly determine the purpose of the call.
Deal with queries and provide correct information.
Forward calls to appropriate person.
Data entry."
Documentation Officer,HRN Group & Management Company,"Bishalnagar,Hadigaun Marga, Dhumbarahi, Kathmandu, Kathmandu, Kathmandu District",2,Junior Level,Nrs. 20k-25k Monthly,1 + year,https://www.kumarijob.com/hrn-group-management-company/58657-documentation-officer,"Ensure compliance with Japanese regulations for documentation and travel.
Prepare, verify, and submit official paperwork.
Coordinate with clients, vendors, and internal teams.
Provide administrative support (filing, scanning, record-keeping).
Communicate with Japanese authorities and consular offices.
Maintain document security and confidentiality.
Be flexible for travel as needed.
Stay updated on regulation changes.
Manage documentation for travel, visas, and permits."
Area Sales Representative (Honda),Padma Jyoti Group,Janakpur - 1,10,Entry Level,"Nrs. (Negotiable) Monthly 
                                                                                                            (Negotiable)",Fresher,https://www.kumarijob.com/jyoti-group-1/59750-area-sales-representative-honda,"Generating leads.
Meeting or exceeding sales goals.
Negotiating all contracts with prospective clients.
Preparing and submitting sales contracts for orders.
Answering client questions about credit terms, products, prices, and availability.
Willing to travel among showrooms for monitoring."
Secondary English teacher,Eden Bridge Academy,"Dhapasi, Kathmandu, Kathmandu District",2,Junior Level,"Nrs.  Monthly 
                                                                                                            (Negotiable)",1 + year,https://www.kumarijob.com/eden-bridge-academy/59498-secondary-english-teacher,"Organize classroom lectures and coursework
Prepare materials and activities
Identify students with special requirements and create individualized plans
Determine exam and assignment grades
Provide feedback based on workload and classroom behaviour
Keep a record of students’ attendance and grades
Research new language teaching methods
Collaborate with teaching staff and administrators to foster a good student experience"
Sales Officer,Mansiri organisations,"Lalitpur, Lalitpur, Lalitpur District",2,Mid Level,"Nrs. (Negotiable) Monthly 
                                                                                                            (Negotiable)",1 + year,https://www.kumarijob.com/mansiri-organisations/59491-sales-officer,"Identify and develop new business opportunities to achieve sales targets.
Build and maintain strong relationships with customers and clients.
Conduct market research to identify customer needs and preferences.
Promote and sell company products/services through various sales techniques.
Negotiate contracts, pricing, and terms with clients.
Maintain accurate records of sales activities, customer interactions, and follow-ups.
Collaborate with the marketing team to implement promotional strategies.
Provide after-sales support and ensure customer satisfaction."
Computer Teacher (Seconadary Level),LRI School,"Kathmandu, Kathmandu District",6,Mid Level,"Nrs.  Monthly 
                                                                                                            (Negotiable)",2 + years,https://www.kumarijob.com/learning-realm-international-lri-school/59407-computer-teacher-seconadary-level,"Plan and deliver engaging music lessons that incorporate music theory, history, and practical exercises.
Encourage students to perform in school events and concerts.
Organize and lead music-related performances and showcase"
Digital Marketing Manager,Fishtail Tours & Travels Pvt. Ltd.,"Baluwatar, Kathmandu, Kathmandu District",1,Senior Level,Nrs. 40K-50K Monthly,3 + years,https://www.kumarijob.com/fishtail-tours-travels-pvt-ltd/59506-digital-marketing-manager,"Develop and implement digital marketing strategies (SEO, SEM, social media, email marketing, content marketing, PPC).
Manage social media platforms and create engaging content.
Analyze marketing performance and optimize campaigns for better ROI.
Collaborate with the team to create promotional campaigns.
Stay updated with industry trends and digital tools."
Marketing & Communication Officer,Evolution Trading Pvt. Ltd.,"Bakhundole, Lalitpur",1,Mid Level,(Negotiable),2 + years,https://www.kumarijob.com/evolution-trading-pvt-ltd/59523-marketing-communication-officer,"Store activation & Offers: Plan and coordinate in-store activations, ensure that store branding, displays and digital screens align with marketing campaigns, work with the sales team to develop exciting offers and promotions.
Brand activation: Develop and execute brand activation strategies to enhance customer engagement.
Promotional Campaigns: Plan and implement marketing campaigns for new product launches, sales events and promotional activities.
Launch Event Planning: Organize product demos, launch exciting events and interactive experiences to showcase new tech products.
Social Media and Digital Marketing: Manage and grow the brand’s social media presence across key platforms like Facebook, Instagram and Tiktok, implement digital marketing tactics to improve brand reach and customer interaction.
12- Month Marketing Calendar and Coordination: Develop and maintain a yearly marketing calendar, aligning with product launches, seasonal sales/discounts, campaigns, events etc.
Campaign Analysis: Measure the effectiveness of marketing campaigns and adjusting strategies as needed.
Budget Management: Manage the marketing and promotional budget."
Documentation Expert,Thakur International and Investment Pvt. Ltd.,"Chundevi Marg, Maharajgunj, Kathmandu, Nepal, Kathmandu, Kathmandu District",5,Top Level,"Nrs.  Monthly 
                                                                                                            (Negotiable)",2 + years,https://www.kumarijob.com/thakur-international-and-investment-pvt-ltd/59595-documentation-expert,"Drafting project proposals for government, international agencies, and private sector clients.
Ensuring compliance with funding guidelines and donor requirements.
Conducting research to support proposal narratives and budgets."
Executive Assistant & Operations Coordinator,Seren Path Trading Company Pvt. Ltd.,"Khumaltar, Lalitpur, Lalitpur District",1,Senior Level,Nrs. 30K-40K Monthly,1 + year,https://www.kumarijob.com/seren-path-trading-company-pvt-ltd/59351-executive-assistant-operations-coordinator,"Communicate with Chinese and other international guests via WeChat and email
Schedule and confirm meetings, prepare agendas, and assist during business visits
Meet and receive guests at the airport when necessary
Arrange hotel bookings, transportation, and local logistics for visiting delegates
Ensure a professional, warm, and helpful experience for all guests"
Counselor,Safejob International Servies,"Bagbazar, Kathmandu",5,Junior Level,"Nrs. (18,000 – 25,000) Monthly",Fresher,https://www.kumarijob.com/safejob-international-servies/59709-counselor,"Counsel and guide candidates about job openings abroad based on their qualifications and experience.
Explain application processes, job descriptions, terms and conditions, and recruitment procedures clearly.
Conduct interviews and preliminary assessments of candidates.
Maintain accurate records of candidates and follow up on documentation.
Liaise with recruitment agencies, foreign employers, and internal departments.
Prepare and verify necessary documents and ensure compliance with regulations.
Communicate with clients in Nepali, Hindi, and English as needed.
Handle queries from walk-in clients and maintain a welcoming office environment.
Support in organizing orientation programs and information sessions."
Student Wellness Officer (Part-time),Prime College,"Nayabazar, Kathmandu, Kathmandu District",1,Entry Level,Nrs.  Monthly,1 + year,https://www.kumarijob.com/prime-college/59298-student-wellness-officer-part-time,"Serve as a confidential, approachable, and non-judgmental resource for students seeking wellness support.
Provide initial emotional support to students who are experiencing challenges such as stress, anxiety, family issues, academic pressure, or personal crises.
Maintain clear boundaries by offering supportive listening—not therapy—and connecting students with licensed professionals or counseling services as needed.
Coordinate with academic and administrative teams to create a supportive environment for students.
Help organize wellness awareness programs, workshops, and campaigns in collaboration with the Ethics & Standard Office.
Maintain accurate and confidential records of student interactions and referrals.
Follow up with students (as appropriate) to ensure they are receiving the support they need.
Promote a culture of care and well-being on campus."
Chief Operating Officer,Academy of Culinary Arts and Hospitality Management,"Lagankhel, Lalitpur",1,Top Level,(Negotiable),10 + years,https://www.kumarijob.com/academy-of-culinary-arts-and-hospitality-management/59378-chief-operating-officer,"Develop and implement operational strategies to support institutional goals. 
Oversee day-to-day administrative and academic operations. 
Optimize resource allocation and process efficiency. 
Collaborate with leadership on long-term planning and innovation. 
Ensure compliance with regulatory and quality standards."
Sales Officer,A Reputed Multinational Company,Kathmandu District,2,Junior Level,Nrs. 25K-30K Monthly,2 + years,https://www.kumarijob.com/a-reputed-multinational-company/59524-sales-officer,"Achieve monthly and quarterly sales targets set for the assigned region.
Identify new business opportunities and expand the customer base."
Plan Operator,Fishtail Dairy Pvt Ltd,"Jagati Bhaktapur, Bhaktapur, Bhaktapur District",1,Senior Level,Nrs. 30K-40K Monthly,2 + years,https://www.kumarijob.com/fishtail-dairy-pvt-ltd/59647-plan-operator,"Operate and monitor dairy processing equipment, including pasteurizers, homogenizers, and separators.
Ensure compliance with food safety and hygiene standards.
Monitor and adjust machine settings to optimize efficiency and product quality.
Conduct routine maintenance and troubleshoot mechanical issues.
Keep accurate production records and report any deviations or faults.
Work closely with quality control and maintenance teams.
Follow company policies and safety procedures at all times."
Senior Accountant (CA/CAA),Nepal Zangni International Logistics (Automobile Divisons),"Bagdol, Lalitpur, Lalitpur District",1,Top Level,Nrs. 80K-100K,3 + years,https://www.kumarijob.com/nepal-zangni-international-logistics/59649-senior-accountant-cacaa,"Manage day-to-day accounting operations.
Maintain accurate records of purchases, sales, and inventory.
Handle accounts payable and receivable.
Prepare and analyze financial statements and reports.
Ensure timely VAT Return and TDS Return and other applicable taxes.
Reconcile bank statements and monitor cash flow.
Coordinate with freight forwarders, customs, and suppliers regarding financial documentation.
Assist in audits and ensure compliance with relevant laws and accounting standards.
Use accounting software"
iOS App Engineer/Developer,Hot Stone,Kathmandu District,1,Mid Level,"Nrs.  Monthly 
                                                                                                            (Negotiable)",2 + years,https://www.kumarijob.com/hot-stone/59656-ios-app-engineerdeveloper,"App Development: Design, develop, and maintain iOS applications for iPhone and iPad using Swift and Objective-C.
UI/UX Implementation: Collaborate with designers to implement intuitive, engaging, and user-friendly interfaces.
Code Quality & Maintenance: Write clean, efficient, and well-documented code. Ensure apps are optimized for performance and reliability.
Testing & Debugging: Implement unit tests and perform debugging to ensure high-quality app functionality and performance.
Continuous Integration: Use version control tools (Git) and participate in code reviews to maintain best practices and improve the development process.
Feature Development: Contribute to the development and enhancement of app features, ensuring they meet customer requirements and expectations.
Collaboration: Work closely with cross-functional teams (product, design, QA) to deliver features on time and in line with business requirements.
App Store Submission: Prepare applications for App Store submission, ensuring they meet all guidelines and requirements for approval.
Performance Optimization: Continuously improve app performance, troubleshoot issues, and ensure responsiveness across different devices and screen sizes.
Stay Updated: Keep up-to-date with the latest iOS development trends, tools, and best practices to ensure the team uses the most effective technologies."
Mobile App Developer,Hot Stone,Kathmandu District,1,Mid Level,"Nrs.  Monthly 
                                                                                                            (Negotiable)",2 + years,https://www.kumarijob.com/hot-stone/59659-mobile-app-developer,"Mobile App Development: Design and build mobile applications for iOS and/or Android platforms using appropriate technologies (Swift, Kotlin, Java, React Native, Flutter, etc.).
UI/UX Collaboration: Work with the design team to implement user interfaces that are intuitive, responsive, and engaging.
Integration: Integrate third-party services, APIs, and data storage solutions to enhance app functionality and user experience.
Performance Optimization: Optimize mobile applications for maximum performance, scalability, and security, ensuring smooth operation across devices.
Testing & Debugging: Test applications for usability and functionality, fixing bugs and ensuring all features work as expected across different devices and operating systems.
App Store Deployment: Ensure proper preparation of apps for deployment on the App Store and Google Play Store, following guidelines and ensuring compliance.
Continuous Improvement: Stay up-to-date with the latest trends, tools, and best practices in mobile app development. Suggest and implement improvements to enhance app performance and features.
Collaboration: Work closely with cross-functional teams, including product managers, designers, and backend developers, to create innovative mobile solutions.
Code Quality: Maintain high code quality by adhering to best practices, version control, and code review processes."
Middle School Teacher,International School,"Dhumbaharai, Kathmandu District",1,Mid Level,Nrs. (18K - 32K),Fresher,https://www.kumarijob.com/international-school-1/59674-middle-school-teacher,"Planning, preparing and implementation of lessons plans, units and projects to complete learning objectives
Foster a learning environment for the learners
Mentor students addressing learning needs and socio emotional wellbeing
Evaluate learning growth through formative and summative assessments
Coordinate with parents/ guardians regarding the child's progress and best methods to enhance learning further
Be a part of the institutions planning and implementation of various learning programs, celebrations and functions
Collaborate with colleagues and school administration"
ECA (Extra-Curricular Activities) Teachers,Eden Bridge Academy,"Dhapasi, Budhanilkantha, Kathmandu District",1,Junior Level,"Nrs. 25K-30K Monthly 
                                                                                                            (Negotiable)",2 + years,https://www.kumarijob.com/eden-bridge-academy/59489-eca-extra-curricular-activities-teachers,"Games and Sports
Art and craft
Football
Basketball
Music"
Accountant,Namaste Automobiles,"Bagdol, Lalitpur, Lalitpur District",1,Mid Level,"Nrs. 25K-30K Monthly 
                                                                                                            (Negotiable)",1 + year,https://www.kumarijob.com/namaste-automobiles/59708-accountant,"Manage day-to-day accounting operations including bookkeeping, ledger maintenance, and reconciliations.
Prepare financial statements, monthly reports, and budget forecasts.
Handle accounts payable and receivable, tax filings (VAT, TDS), and bank reconciliations.
Monitor financial transactions and reports to ensure accuracy and compliance.
Assist in internal and external audits.
Maintain documentation and filing systems for financial records.
Coordinate with other departments for budget planning and expense control.
Use accounting software (e.g., Tally, Swastik, or others as required)."
Marketer,Krish Home Studios Pvt. Ltd.,"Kathmandu, Biratnagar",2,Junior Level,"Nrs. 25K-30K Monthly 
                                                                                                            (Negotiable)",Fresher,https://www.kumarijob.com/krish-home-studios/59464-marketer,"Sales & Promotion: Promote and market company products, focusing on pipe fittings and sanitary items.
Client Engagement: Develop and maintain relationships with retailers, contractors, and wholesalers.
Field Visits: Conduct market visits, identify potential customers, and ensure brand visibility.
Sales Target Achievement: Work towards achieving monthly and quarterly sales goals.
Market Research: Analyze competitor products, pricing, and strategies to improve sales performance.
Reporting: Maintain sales records and provide regular updates to the management team."
Visa Officer,Skyline Travel and Tours Pvt Ltd,"Dhobidhara,Putalisadak (Milan Sadan Building 4th floor ) - near chiya ghar, Kathmandu, Kathmandu District, Kathmandu, Kathmandu District",2,Mid Level,Nrs. (Negotiable) Monthly,2 + years,https://www.kumarijob.com/skyline-travel-and-tours-pvt-ltd/59468-visa-officer,"Process visa applications for various countries, ensuring accuracy and completeness.
Review and verify client documents as per embassy requirements.
Provide guidance to clients on visa requirements, processing times, and interview preparation.
Coordinate with embassies, consulates, and visa application centers.
Track application statuses and update clients accordingly.
Maintain accurate records of visa applications and approvals.
Stay updated on immigration laws and policy changes.
Handle queries from clients and provide professional customer service.
Assist with other administrative and travel-related tasks as required."
