Job_Title,Company,Location,Job Level,Salary,Job Description
Sr. Account Officer,Dugar Group,"Naxal, Kathmandu, Nepal",Mid level,Negotiable,"Ensures accurate financial records by recording, verifying, and organizing transactions.
Prepares and records financial details like assets, liabilities, income, and expenses.
Keeps financial accounts accurate by checking, posting, and fixing any mistakes.
Maintains the general ledger, prepares trial balances, and reconciles accounts.
Summarizes financial status by preparing reports like balance sheets and profit & loss statements.
Supports external audits by organizing financial records and providing required details.
Ensures legal compliance to avoid financial risks.
Secures financial data by backing up records.
Maintains confidentiality of financial information.
Trains and supervises subordinate staffs.
Maintain accurate financial records.
Ensure compliance with tax law, audits and regulatory requirements.
Master degree in accounts or finance major or a related field.
3-5 years of experience in accounting preferably in pharmaceutical.
Expertise in accounting software.
Strong knowledge of taxation, financial reporting and audit procedure.
Excellent leadership and problem solving skills."
Jr. Account Officer,Dugar Group,"Naxal, Kathmandu, Nepal",Junior,Negotiable,"Assists senior accountants with all financial operations.
Compiles weekly and monthly financial statements and reports.
Prepares and analyzes balance sheets.
Makes journal entries
Handles the month-end and year-end closing process
Manages accounts payable and receivables
Uses popular financial software
Collaborates with other members of the finance team
Follows all company policies and procedures
Adheres to finance laws and regulations.
Bachelor’s degree in accounts and finance major or related field
1-2 years’ experience in accounting preferably in the pharmaceutical sector
Proficiency in accounting software.
Strong analytical and problem solving skills."
Sales/ Marketing Officer,Dugar Group,"Naxal, Kathmandu, Nepal",Mid level,Negotiable,"1. Sells pharmaceutical products and helps customers with their needs.
2. Manages existing customer accounts, takes orders, and finds new customers.
3. Plans daily sales visits to current and potential clients.
4. Adjusts sales presentations based on the type of customer or business.
5. Focuses sales efforts on high-potential customers and dealers.
6. Uses virtual sales channels like social media, webinars, and online presentations.
7. Submits customer orders based on product price lists and information.
8. Keeps management updated with daily, weekly, and monthly sales reports.
9. Tracks competitors’ prices, products, and sales strategies.
10. Suggests product or service improvements based on market feedback.
11. Resolves customer complaints by investigating issues and finding solutions.
12. Stays updated on industry trends.
13. Maintains records of sales and customer interactions.
Requirements:
1. Bachelors or Master’s degree in Marketing, Pharmacy or related field.
2. Minimum 2-3 years of experience in pharmaceutical sales and marketing.
3. Strong communication and negotiation skills.
4. Ability to travel frequently within the assigned territory.
5. Self-motivated and target oriented."
Daily Sales Representative,Manaram Group,"Chandol, Kathmandu, Nepal",Junior,Negotiable,"Develop sales plans and action plans, and new business leads. 
Achieve sales revenue numbers, budget and profit goals. 
Call prospective customers, provide knowledge about our product, and guide them through the purchase process. 
Assist in managing monthly/quarterly/annual sales budgets and objectives. 
Maintain accurate record of all sales, scheduled customer appointments, and customer complaints. 
Assist team with promotional ideas to increase business within the region. 
Oversee the activities and performance of the sales team.
Make a market research on cost-benefit analyses for prospective and existing customers to determine the most suitable purchase options. 
Analyze competitors’ products to determine product features, benefits, shortfalls, and market success. 
Make a review of current market trends and competitor offerings and be able to prepare and present accurate and detailed sales reports.
Maintain strong communication between sales executives and internal and external stakeholders. 
Collaborate with the Marketing department to develop various promotional activities, enhance the company’s presence, and generate leads. 
Collaborate with managers in preparing budgets and monitoring expenses. 
Other tasks assigned by the line manager.
Bachelor’s Degree in Sales, Marketing, Business Administration or related field is preferred. (running will also be considered)
Excellent interpersonal communication skills, both verbal and written. 
Sales-driven, results-driven, and target-driven attitude. 
Excellent negotiation and consultative sales skills. 
Excellent organizational and multitasking skills. 
Demonstrates the ability to forge and maintain relationships. 
Sound knowledge of sales strategies and industry regulations. 
Two-Wheeler with valid driving license."
FRONT DESK OFFICER,SHREEYAM EDUCATIONAL SERVICES S.E.S-2008,"Putalisadak, Kathmandu, Nepal",Not Found,Negotiable,"Front Desk Officer is responsible for guiding students in choosing academic programs, career paths, and university admissions while also managing front desk operations. They assist with application processes, scholarships, and career counseling while handling inquiries, scheduling appointments, and maintaining records. The role involves providing information to students and parents, coordinating with institutions, conducting workshops, and ensuring a welcoming and organized reception area. Additionally, they offer basic administrative support, address student concerns, and maintain confidentiality while delivering excellent customer service.
Front Desk Officer guides students in making informed academic and career decisions. They provide support in course selection, university admissions, scholarships, and personal development, ensuring students achieve their educational and professional goals.
Key Responsibilities:
Student Counseling:
Advise students on career paths, academic programs, and admission processes.
Help students choose the right courses based on their skills, interests, and goals.
Admission & Application Assistance:
Guide students through university applications, scholarships, and entrance exams.
Assist with resume writing, personal statements, and interview preparation.
Career Guidance & Assessments:
Conduct aptitude tests and personality assessments to identify strengths and career options.
Provide insights into industry trends and job market opportunities.
Parental & Stakeholder Communication:
Communicate with parents about students’ progress and career prospects.
Collaborate with teachers, universities, and training institutes for student development programs.
Workshops & Seminars:
Organize career fairs, university meetups, and counseling sessions.
Conduct group sessions on time management, study skills, and career planning.
Keeping Up-to-Date with Education Trends:
Stay informed about new courses, scholarships, and educational policies.
Maintain relationships with educational institutions and industry professionals.
Student Mental Well-being Support:
Provide basic emotional support and refer students to psychologists if needed.
Address academic stress, peer pressure, and personal challenges.
Required Skills & Qualifications:
Education: Bachelor’s
Experience: one year in academic counseling, career guidance, or student support.
Skills:
Strong communication and interpersonal skills.
Active listening and empathy.
Problem-solving and decision-making ability.
Knowledge of education systems, universities, and career options.
High technical skills for research and documentation."
Female Receptionist,Cosmic Media Pvt. Ltd.,"New Baneshwor, Kathmandu, Nepal",Junior,NPR 10K - 15K,"Answer and direct incoming calls promptly and professionally.
Make frequent outgoing calls to clients, customers, and vendors for follow-ups, inquiries, and confirmations.
Greet and assist visitors in a friendly and professional manner.
Maintain accurate call logs and update records as needed.
Schedule and manage appointments, meetings, and follow-ups.
Provide basic information about the company, products, or services over the phone.
Handle customer queries, complaints, or requests efficiently and escalate them when necessary.
Excellent verbal communication skills.
Strong interpersonal skills and the ability to maintain professionalism on calls.
Ability to multitask, stay organized, and work under minimal supervision.
A pleasant and confident phone manner."
Counselor,Nona Getaways,"Gyaneshwor Marg, Kathmandu, Nepal",Not Found,NPR 25K - 35K,"Counsel students on study options, admission processes, and visa requirements for Australia, Canada, and Europe.
Assist students in selecting suitable universities, colleges, and courses based on their academic background and career goals.
Guide students through application procedures, including document preparation, SOP writing, and financial documentation.
Stay updated with the latest immigration policies, visa rules, and admission requirements.
Coordinate with university representatives and embassies for application tracking and updates.
Maintain accurate records of student interactions, applications, and visa success rates.
Proven experience in student visa counseling for Australia, Canada, and Europe.
Strong knowledge of visa requirements, admission criteria, and education systems of these countries.
Excellent communication, interpersonal, and persuasion skills.
Ability to work independently and manage multiple student applications.
Fluency in English languages is a plus."
Accountant,Nona Getaways,"Gyaneshwor Marg, Kathmandu, Nepal",Mid level,NPR 25K - 35K,"Maintain accurate financial records, including ledgers, invoices, and receipts.
Prepare and analyze financial statements, reports, and budgets.
Handle accounts payable and receivable, ensuring timely payments and collections.
Process payroll, tax calculations, and statutory compliance.
Reconcile bank statements and financial discrepancies.
Assist in preparing financial forecasts and cost analysis.
Bachelor's degree in Accounting, Finance, or a related field.
Proven experience as an Accountant or in a similar role.
Strong knowledge of accounting principles, tax regulations, and financial reporting.
Attention to detail and strong organizational skills.
Ability to work independently and meet deadlines."
Digital Marketing Specialist with Social Media Marketing Experience,Dhuni Software,"Thapathali, Kathmandu, Nepal",Mid level,Negotiable,"Develop and implement digital marketing campaigns across various channels (e.g., email, social media, search engines, content marketing).
Manage and grow our social media presence on platforms such as Facebook, Twitter, Instagram, LinkedIn, and others.
Analyze and report on the performance of digital marketing campaigns using tools like Google Analytics, social media analytics, etc.
Measure and report performance of all digital marketing campaigns, and assess against goals (ROI and KPIs).
Plan and execute all web, SEO/SEM, database marketing, email, social media, and display advertising campaigns.
Develop, implement, and manage our social media strategy to align with business goals.
Create and curate engaging content for social media platforms (Facebook, Instagram, LinkedIn, etc.).
Monitor social media channels for trends, opportunities, and customer engagement.
Manage social media campaigns and track their success using analytics tools.
Stay up-to-date with current technologies and trends in social media, design tools, and applications.
Collaborate with other teams, like marketing, sales, and customer service, to ensure brand consistency.
Oversee social media accounts' design (e.g., Facebook timeline cover, profile pictures, ads).
Identify and engage with influencers and industry partners to expand our reach.
Optimize campaigns for maximum ROI, including A/B testing, keyword research, and audience targeting.
Collaborate with internal teams (e.g., designer, sales) to create cohesive marketing materials and strategies.
Stay up-to-date with the latest digital marketing trends and best practices.
Bachelor’s degree in Marketing, Communications, or a related field.
2 years of proven experience as a Digital Marketing Specialist, Social Media Manager, or similar role.
Demonstrable experience in managing SEO/SEM, marketing database, email, social media, and/or display advertising campaigns.
Strong understanding of digital marketing concepts, including SEO, SEM, PPC, email marketing, and social media marketing.
Proficiency with digital marketing tools and platforms (e.g., Google Analytics, Facebook Ads Manager, Hootsuite, MailChimp).
Experience in setting up and optimizing Google AdWords campaigns.
Excellent written and verbal communication skills.
Creative thinking and problem-solving skills.
Ability to work independently and as part of a team.
Strong organizational skills and attention to detail."
Sales Executive,Dhuni Software,"Thapathali, Kathmandu, Nepal",Not Found,Negotiable,"Reach out to potential clients through calls, emails, and social media to generate leads and build a pipeline of new business opportunities. 
Develop and maintain relationships with new and existing clients, understanding their needs, and offering tailored solutions to meet those needs. 
Prepare proposals, handle client objections, negotiate terms, and close deals to meet or exceed set sales targets. 
Develop and execute sales strategies to increase revenue and market share. 
Identify new business opportunities and partnerships to expand the job portal's reach. 
Conduct market research to analyze trends and identify potential growth areas. 
Plan and implement effective brand promotion strategies to enhance visibility. 
Manage and oversee the entire sales, marketing, and business development process. 
Conduct presentations and product demos to educate potential clients on our software solutions and demonstrate their value. 
Regularly report on sales activities, client feedback, and pipeline status to management to track progress toward targets. 
Work closely with the marketing and product teams to align sales strategies, product offerings, and promotional materials.
Bachelor's degree in business, Marketing, or related field. 
Minimum of 2-3 years of proven success in a sales role. 
Strong communication and negotiation skills. 
Ability to present products and services effectively. 
Ability to generate leads, cold call, and close sales deals. 
Good understanding of CRM systems and sales pipeline management."
Front Desk Cum Admin Executive,Dugar Group,"Naxal, Kathmandu, Nepal",Associate,Negotiable,"Greet visitors, clients, and staff in a professional and friendly manner,
Answer and direct phone calls, emails, and other communications,
Manage scheduling, appointments, and meeting room bookings,
Maintain office supplies inventory and order as necessary,
Perform basic administrative tasks such as data entry, filing, and documentation,
Assist in managing office cleanliness and organizing office events,
Coordinate with various departments to ensure smooth operations,
Handle office correspondence and ensure timely follow-ups.
Bachelor's degree in any faculty
Proven experience in a front desk or administrative role
Strong communication and interpersonal skills
Proficient in MS Office Suite (Word, Excel, PowerPoint),
Excellent organizational skills and attention to detail
Ability to work independently and as part of a team
A positive attitude and ability to manage multiple tasks effectively."
Academic Staff,Sparkle Kids Academy,"Manbhawan, Lalitpur, Nepal",Mid level,Negotiable,"Plan and conduct engaging learning activities for young children.
Create a nurturing and supportive classroom environment.
Develop lesson plans and teaching materials as per the curriculum.
Assess students' progress and provide constructive feedback.
Maintain discipline and ensure a safe learning space.
Communicate effectively with parents and guardians regarding student development.
Adapt teaching methods to meet individual student needs.
Work collaboratively with other staff and follow school policies.
Female candidate, age below 30 years.
Bachelor’s or Master’s degree (Education-related field preferred).
At least 1 year of experience in any school.
Montessori training is highly preferred.
Strong English proficiency with excellent communication skills.
Ability to work well with children and understand their needs.
Versatile, smart, and positive personality.
Unmarried status preferred."
Content Creator,Scodus Innovations Pvt. Ltd.,"Dilli Bazaar, Kathmandu, Nepal",Associate,NPR 20K,"Plan & create fun, educational video content 
Write engaging scripts & voiceovers 
Handle social media & stay on top of trends 
Work with the design & marketing team to craft eye-catching visuals 🎨
Ensure content aligns with brand voice & audience preferences
Passion for storytelling & social media
Basic content creation & copywriting skills
Familiarity with Instagram, TikTok, and Facebook
Strong creativity & attention to detail"
