Job Title,Company,Location,Job Level,Salary,Job Description
Graphic Designer / Video Editor,RV Group,"RV GROUP, Bhagwati Bahal, Naxal",Mid Level,Not Disclosed,"Conceptualization and Creation: Develop
and execute creative concepts for motion graphics and video projects,
translating ideas into compelling visuals. Animation and Motion Graphics: Create
animated graphics, including kinetic typography, infographics, and other visual
elements to enhance video content. Video Editing: Edit
raw footage, adding motion graphics, titles, transitions, and other elements to
create a cohesive and impactful narrative. Collaboration: Work
closely with creative teams, clients, and other stakeholders to ensure projects
meet their needs and expectations. Software Proficiency: Utilize
industry-standard software for motion graphics (e.g., Adobe After Effects) and
video editing (e.g., Adobe Premiere Pro, Final Cut Pro). Technical Skills: Possess
skills in areas like rotoscoping, motion/camera tracking, keying, and managing
post-production edits. Audio and Visual Integration: Ensure
that audio elements (music, sound effects, dialogue) are seamlessly integrated
into the video, enhancing the overall experience. Project Management: Manage
multiple projects simultaneously, meeting deadlines and staying
organized. Adaptability: Be
able to adapt to different projects and styles, and to make changes and edits
as needed."
Tea Garden Manager,Siddha Devi Tea Estate Pvt. Ltd,Illam,Senior Level,Not Disclosed,"Manage the cultivation and maintenance of tea gardens, ensuring high-quality yield.Oversee tea harvesting, processing, and post-harvest activities.Monitor and improve production efficiency and quality control processes.Coordinate with the production team to ensure timely processing and packaging.Develop and implement sustainable farming practices.Manage a team of workers and provide training and support.Ensure compliance with health, safety, and environmental standards.Maintain accurate records of production and other relevant activities.Liaise with suppliers, vendors, and external stakeholders."
Management Trainee,NMB BANK,Location not found,Not found,Not found,Not found
Senior .NET Developer (Full Sta…,NBIT,"Balkumari, Lalitpur",Senior Level,Not Disclosed,"Outstanding communication and interpersonal skills.Ability to work well, communicate and contribute to a team and work autonomouslyHas a real passion and interest in learning new technologies and staying up to date.Leadership skillsContribute to the design and architecture of our software and services."
Residential Nurse / Health Assi…,Kathmandu World School,"Suryabinayak-7, Gundu, Bhaktapur",Mid Level,Not Disclosed,"Provide immediate first aid
     and medical assistance to students and staff as needed.
Assess and treat minor
     injuries and illnesses, referring serious cases to a hospital when
     necessary.
Maintain an inventory of
     medical supplies and ensure timely replenishment.
Ensure proper hygiene and
     sanitation in the school’s medical facility."
R&D and Delivery Leader,Hitachi Energy,"Kathmandu, Bagmati",Top Level,Not Disclosed,"Lead, mentor, and motivate a large software development team to achieve high performance.Foster a collaborative and innovative culture that encourages continuous improvement and professional growth.Oversee end-to-end project management, including planning, execution, monitoring, and delivery of software solutions.Develop and manage the budget for the R&D and delivery teams, ensuring efficient allocation of resources.Monitor expenditures, prepare financial forecasts, and provide regular budget reports to senior management.Identify talent needs within the team and oversee recruitment, onboarding, and retention strategies.Conduct regular performance evaluations, provide constructive feedback, and facilitate professional development opportunities.Create and implement succession planning and career development paths for team members.Act as the primary liaison between the offshore team and internal stakeholders, ensuring effective communication and collaboration.Provide regular updates on project status, challenges, and milestones to senior management and relevant stakeholders.Identify potential project risks and develop mitigation strategies to minimize impact.Ensure compliance with industry standards and best practices in software development and project management.Essure the team utilizes global development tools and processes, promoting standardization across projects.Implement and enforce best practices in software development, including coding standards version control and documentation.Establish and maintain global quality assurance processes, including adherence to quality gates and checkpoints throughout the project lifecycle.Ensure comply with industry standards and security protocols, integrating security practices into development process.Living Hitachi Energy’s core values of safety and integrity, which means taking responsibility for your own actions while caring for your colleagues and the business."
HR Business Partner - Enterpris…,Hitachi Energy,"Kathmandu, Nepal.",Senior Level,Not Disclosed,"Implement people strategy and act in line with global BU/ global function strategy and Group HR policies and guidelines. Shaping, improving and supervising all HR processes such as: Employee Relations, Performance Life Cycle, Recruitment & Employer Branding, Onboarding, Learning & Development,  Oversee implementation of HR processes within the area of responsibility requiring follow up and advisement. Cooperate closely with Managers and Employees in relevant location to achieve better understanding of current HR issues and introduce the most effective solutions to resolve them. Being the main point of contact for Managers on all People matters, answering questions and addressing concerns,  Support Managers in implementing and following up performance management activities. Represent HR in the workplace, build partnership between Employees, HR and Managers. Implement and ensure compliance with global and local standards, rules, tools, policies and processes related to operation or project execution and share functional best practice and lessons learned across the organization. Developing and driving people strategy supporting the organization to deliver business results. Ensure that the area of responsibility is properly organized, staffed and directed. Helps to build up an effective, capable and high performing team. Living Hitachi Energy’s core values of safety and integrity, which means taking responsibility for your own actions while caring for your colleagues and the business."
Sales Executive (For UK),Same Day Courier,"Kathmandu, Nepal",Mid Level,"NRs. 100,000 - 120,000 Monthly","Telesales: Make sales calls from Nepal to UK potential companies/clients in order to bring an average of 2-3 New Clients in a week for Same Day Courier
Europe Ltd (www.same-daycourier.com)As it is an outsourced job for the UK, English must be fluent and English Accent must be perfect for our clients to comprehend. Must be graduated from English-speaking countries such as the UK, USA, Canada, or Australia. Laptop, Phone, prospects/leads, etc will be provided.Full training will be givenAble to operate CRM software to track and manage leads.In addition to a basic starting salary between Rs 100,000 to Rs120,000 per month (1 Lakh to 1 Lakh 20 Thousands), there is a bonus of Rs 5,000 per new client, i.e Rs 30,000 bonus for six new clients in a month.Salary Payment: BACS payment end of the English monthBuild and nurture long-term relationships with clients to ensure their satisfaction and loyaltyThe job is for a long-term and NOT a short-term contract.Immediate start"
IELTS / TOEFL Tutor,University Portal,Dillibazar Location,Mid Level,Not Disclosed,Competitive monthly salary (let’s talk numbers!) Pay per student—your earnings grow with the number of students you teach.
Primary School Teacher,Kathmandu World School,"Suryabinayak-7, Gundu Bhaktapur",Mid Level,Not Disclosed,"Plan and deliver engaging lessons as per the curriculum.Use interactive and student-centered teaching methods to enhance learning.Ensure that all subjects are taught effectively, including English, Mathematics, Science, Social Studies, and Nepali.Integrate digital tools and resources to enhance classroom learning."
Swimming Teacher,Kathmandu World School,"Suryabinayak-7, Gundu, Bhaktapur",Mid Level,Not Disclosed,"Plan, organize, and conduct swimming lessons for female students of different age groups and skill levels.Ensure water safety and supervise students during swimming sessions.Teach and reinforce proper swimming techniques, strokes, and breathing techniques.Conduct fitness and endurance training related to swimming.Monitor and assess students’ progress, providing individualized feedback.Maintain discipline and ensure adherence to pool safety rules.Coordinate with the school administration for swimming competitions and events."
Science Teacher,Kathmandu World School,"Suryabinayak-7, Gundu, Bhaktapur",Mid Level,Not Disclosed,"Plan, develop, and deliver engaging and interactive science lessons for Grades 8 to 10.Prepare students thoroughly for the SEE (Secondary Education Examination) by covering the required syllabus effectively.Develop and implement hands-on experiments, practical demonstrations, and project- based learning activities.Assess student progress through tests, assignments, and examinations and provide constructive feedback.Prepare and maintain lesson plans, teaching materials, and assessment records."
Nepali Teacher,Kathmandu World School,"Suryabinayak-7, Gundu, Bhaktapur",Mid Level,Not Disclosed,"Plan, prepare, and deliver engaging and well-structured Nepali lessons for Grades 6–10.Develop lesson plans in alignment with the curriculum and SEE examination guidelines.Use diverse teaching methodologies to cater to different learning styles."
Social Studies Teacher,Kathmandu World School,"Suryabinayak-7, Gundu, Bhaktapur",Mid Level,Not Disclosed,"Plan and deliver engaging and interactive Social Studies lessons for school.Develop lesson plans, instructional materials, and assessments aligned with the national curriculum.Utilize innovative teaching strategies, including project-based learning and technology integration.Prepare students for the SEE (Secondary Education Examination) by ensuring syllabus completion and effective revision."
Client Service Associate,Popeye Studios,Maharajgunj,Mid Level,Not Disclosed,"Develop and execute social media strategies to drive engagement and brand growth.Manage platforms like Facebook, Instagram, TikTok, etc.Create and maintain a content calendar, ensuring timely and relevant posts.Write engaging copy and captions that align with brand tone and objectives.Collaborate with designers and videographers to produce high-quality content.Analyze performance metrics and provide monthly reports with insights.Stay updated on trends, platform updates, and best practices.Plan and execute paid social media campaigns for brand events/ activations when required.Research, plan and develop content pillars & communication lines for new product launches as required by the clientDevelop email marketing strategies, create engaging email content, and monitor campaign performance.Coordinate with clients for any hands-on projects as needed on immediate basis."
Duty Officer,Bishwojyoti Cineplex,"Kathmandu, Nepal",Mid Level,Not Disclosed,"Operation Management – Assist in show planning, monitor auditorium setup, supervise staff, manage cash, stock, hygiene, and maintain checklists.Food & Beverage – Order stock, oversee food quality, minimize wastage, and ensure SOP compliance.Complaint Handling – Address customer concerns, gather feedback, and escalate issues when necessary.Repair & Maintenance – Monitor and maintain theater equipment, ensuring smooth operation.Meetings & Coordination – Lead operations in the manager’s absence, conduct briefings, and coordinate with vendors and customers.Training & Development – Train staff on SOPs, customer service, and workplace safety.Theater Management – Maintain projection records, supervise cleanliness, and ensure service quality.Documentation – Keep records of cash, stock, staff, contracts, and vendor agreements."
Senior Software Developer - Lar…,RV LIFE,Remote,Senior Level,"NRs. 236,000 - 337,500 Monthly",Minimum of 4 years in software developmentAt least 3 years of experience working with LaravelAt least 3 years of experience working with a major front-end framework
Accounts Officer,BKOI Builders,"Kathmandu, Nepal",Mid Level,Not Disclosed,"Accurately maintain financial records and transactions.Perform regular reconciliations of accounts.Assist in the preparation of financial statements and reports.Handle VAT, TDS, and other tax filings following regulations.Maintain and organize the general ledger.Collaborate with the senior finance team in budgeting, forecasting, and planning."
Digital Marketing Officer,Mero Coding Class,"Shankhamul, Kathmandu",Mid Level,"NRs. 25,000 - 35,000 Monthly","Social Media Management: Plan, create, and manage engaging content for social media platforms.SEO & Website Management: Optimize website content, track performance, and improve rankings.Paid Ads: Plan and execute paid campaigns on Google, Facebook, and other digital platforms.Content Creation: Write blogs, social media posts, and ad copies to attract and engage audiences.Email Marketing: Design and execute email marketing campaigns to nurture leadsAnalytics & Reporting: Monitor campaign performance, analyze data, and provide actionable insights.Brand Growth: Develop and implement creative marketing strategies to expand reach and engagement."
Sales Intern,Mero Coding Class,"Shankhamul, Kathmandu",Entry Level,Not Disclosed,Assist in reaching out to potential customers and providing information about courses.Follow up on inquiries and help convert leads into enrollments.Support the sales team in executing promotional activities.Maintain and update customer records in CRM tools.Collaborate with the marketing team to improve outreach strategies.Participate in workshops and events to increase brand awareness.
Pre-Primary Teacher,Manoram Pre-School,Budhanilakantha - 9,Mid Level,"NRs. 25,000 - 30,000 Monthly","Present lessons in a comprehensive manner and use visual/audio means to facilitate learningProvide individualized instruction to each student by promoting interactive learningCreate and distribute educational content (notes, summaries, assignments etc.)Assess and record students’ progress and provide grades and feedbackKeep up-to-date with developments in early childhood education and implement best practices in the classroomOrganize and participate in school events and activitiesMaintain accurate records of attendance, grades and other student dataCollaborate with other teachers, parents"
Science Teacher,Ace Higher Secondary School,Kathmandu,Mid Level,Not Disclosed,"Develop and implement technology-enhanced learning methods and resources in the classroom Create a positive and inclusive learning environment for students Use various assessment methods to evaluate students' understanding and progress Communicate with parents and guardians regarding students' academic progress and behavior Attend and participate in school meetings, workshops, and training sessions Keep up-to-date with advancements in Science education, teaching techniques, and technology Establish and maintain classroom rules and expectations Create and maintain a safe and organized classroom environment Mentor and support students in their overall growth and developmentActively participate in and promote the school's individual-centered learning approach Thinking-based learning must be mandatory, and flipped classroom teaching must be used."
Grade Teacher,Imperial World School,Kathmandu,Mid Level,Not Disclosed,"Positive and Growth-Oriented: Have a can-do mindset and inspire students to achieve their full potential.Innovative and Adaptive: Embrace creative approaches and adjust to the changing educational landscape.Committed and Reflective: Continuously evaluate and improve their teaching practices.Eager to Learn: Open to professional growth and willing to implement feedback effectively.Collaborative Team Players: Ready to work closely with colleagues, students, and parents to create a supportive learning environment."
English Teacher,Imperial World School,"Kathmandu, Nepal",Mid Level,Not Disclosed,"Positive and Growth-Oriented – Have a can-do mindset and inspire students to achieve their full potential.Innovative and Adaptive – Embrace creative approaches and adjust to the changing educational landscape.Committed and Reflective – Continuously evaluate and improve their teaching practices.Eager to Learn – Open to professional growth and willing to implement feedback effectively.Collaborative Team Players – Work closely with colleagues, students, and parents to create a supportive learning environment."
Relationship Manager,Interpid Recruitment Services,"Kathmandu, Nepal",Mid Level,Not Disclosed,Build and maintain strong client relationships to drive business growth.Identify new business opportunities and expand the customer base.Provide excellent customer service and resolve client concerns promptly.Develop sales strategies and achieve assigned targets.Coordinate with internal teams to ensure smooth service delivery.Analyze market trends and customer needs to offer tailored solutions.Maintain accurate records of client interactions and transactions.Represent the company at industry events and meetings.
Documentation Officer,SD Miracle Educational Consultancy,"Bharatpur, Chitwan",Mid Level,Not Disclosed,"Maintain, organize, and manage all company documentation, including legal, financial, and operational records.Ensure timely updating of documents and ensure their compliance with company standards and legal requirements.Process and prepare documents for submission to relevant departments, clients, or authorities.Keep track of important deadlines related to document submissions or renewals.Review and verify the accuracy of documents, including contracts, reports, and records.Organize, store, and retrieve documents for various projects and team members.Assist in the preparation and coordination of internal and external audits.Ensure proper documentation of all meetings, communications, and approvals.Ensure confidentiality and security of documents in compliance with company policies and regulations.Assist in the preparation of reports and presentations based on company records.Perform additional administrative duties as assigned by senior management."
Marketing Officer,The Society Fine Dining Restaurant,"Gairidhara, Kathmandu",Mid Level,"NRs. 20,000 - 25,000 Monthly","Develop and implement a comprehensive marketing plan to boost brand visibility and customer engagement.Plan and execute promotional campaigns, including festivals, special events, and seasonal offers.Monitor market trends and competitor strategies to keep our marketing innovative and competitive."
Retail Sales Executive,Jasmine Hygiene Products,"Bhaktapur

                                    ,
                                
                                    Kathmandu

                                    ,
                                
                                    Lalitpur",Entry Level,Not Disclosed,"Actively seek out new business opportunities through networking, cold calling, and other sales strategies.Develop and maintain strong relationships with retail clients.Understand and analyze market trends and customer needs to negotiate sales and increase revenue.Collaborate with the marketing team to develop effective strategies for product promotion.Monitor competitor activities and provide feedback to the sales team.Meet or exceed sales targets set by the company.Provide outstanding customer service and support to ensure customer satisfaction.Keep track of inventory and sales data for analysis and reporting."
Counselor (UK/USA/Australia),Vito Education,"Dillibazar, Kathmandu",Mid Level,Not Disclosed,"Provide guidance to students regarding study options in the UK, USA, and Australia.Assist students with university selection, application processes, and documentation.Counsel students on visa requirements and financial planning.Conduct seminars, webinars, and one-on-one counseling sessions.Maintain strong relationships with universities and educational partners.Handle inquiries and follow up with prospective students."
Primary Math Teacher,Millsberry School,"Bansbari Road, Kathmandu",Mid Level,"NRs. 35,000 - 45,000 Monthly",Plan and deliver engaging math lessons for primary studentsFoster a positive and encouraging learning environmentAssess student progress and provide constructive feedbackCollaborate with fellow teachers and parents for student successImplement innovative teaching methods to enhance learning
Operations Manager,Same Day Courier,"Kathmandu, Nepal",Mid Level,"NRs. 100,000 - 120,000 Monthly","Assistant Operations Manager (For UK Business) Business: Same Day Courier Europe Ltd. (www.same-daycourier.com) is a fully dedicated transportation and delivery service provider operating all throughout the UK and EuropeMain Role: Clients' Phone ring both in the UK office and here in Nepal at the same time. Work closely with the other staff (British & Nepalese) in the United Kingdom and in Nepal via zoom and VOIP phones and provide quotes and manage transportation service (please visit website). Currently 8 outsourced staffs here in ktm who work from home for the UK.As it is an outsourced job for the UK, English must be fluent and English Accent must be perfect for our clients to comprehend. Must be graduated from English-speaking countries such as the UK, USA, Canada, or Australia. Laptop, Phone, prospects/leads, etc will be provided.Full training will be givenIn addition to a basic starting salary between Rs 100,000 to Rs120,000 per month (1 Lakh to 1 Lakh 20 Thousands), there is a bonuses on topSalary Payment: BACS payment end of the English monthThe job is for a long-term and NOT a short-term contract.Immediate start"
Documentation Officer,The First Generation Consultancy And Migration,"Bagbazaar, Kathmandu",Mid Level,"NRs. 25,000 - 40,000 Monthly","Manage and maintain company documents, records, and databases.Ensure all documents are accurate, up-to-date, and comply with company and regulatory requirements.Organize and archive physical and digital files for easy access and retrieval.Assist in preparing reports, presentations, and other documents for meetings and projects.Liaise with internal teams and clients to ensure seamless documentation flow.Handle documentation for various projects in compliance with Australian standards and regulations.Prepare and review contracts, agreements, and other legal documents.Assist in document audits and quality assurance processes."
High School Mathematics Teacher,Rosebud School,"Buddhanagar, Kathmandu, Nepal",Mid Level,"NRs. 60,000 - 70,000 Monthly","Plan and deliver engaging and comprehensive lessons in line with the school's curriculum and standardsCreate lesson plans, worksheets, and other instructional materials to enhance student learningMotivate and inspire students to develop critical thinking and problem-solving skillsEffectively manage classroom behavior and maintain a positive learning environmentUtilize a variety of teaching techniques and technology to enhance student understanding and engagementMonitor student progress, provide feedback, and assess their learning through regular assessmentsCommunicate with parents and guardians regarding students' progress and academic needsParticipate in faculty meetings, professional development opportunities, and parent-teacher conferencesCollaborate with other teachers and staff to promote a cohesive learning environment"
High School Computer Teacher,Rosebud School,"Buddhanagar, Kathmandu, Nepal",Mid Level,"NRs. 60,000 - 70,000 Monthly","Develop and implement engaging lesson plans to teach computer-related subjects to students in as per the present NEB curriculum.Utilize a variety of teaching methods and techniques to accommodate different learning styles.Assess and evaluate students' progress and provide meaningful feedback to promote their growth.Create a positive and inclusive classroom environment that encourages student participation and enhances learning.Demonstrate proficiency in using computer software and programs to effectively teach concepts.Collaborate with other teachers and school administration to coordinate curriculum and integrate technology in other subjects.Maintain accurate records of attendance, grades, and student progress.Communicate effectively with parents regarding student progress and concerns."
Samajik Adhyaan Teacher (Grades…,Rosebud School,"Buddhanagar, Kathmandu, Nepal",Mid Level,"NRs. 40,000 - 50,000 Monthly","Develop and implement lesson plans that fulfill the requirements of the school's curriculum.Prepare, plan, and teach social studies lessons to students in grades 4-5, incorporating various teaching methods and instructional resources.Assess and evaluate student performance and progress through formative and summative assessments, providing constructive feedback to support student growth.Create a classroom environment conducive to learning and appropriate for the physical, social, and emotional development of students.Utilize technology and other innovative teaching tools to enhance the learning experience.Collaborate with other teachers, staff, and administration to support the overall educational program and school initiatives.Maintain accurate and complete records of students' progress and development.Communicate regularly with parents regarding their children's academic and social development.Participate in school events, meetings, and professional development activities.Adhere to all school policies and regulations."
HP And CA Teacher (Grade 4 and …,Rosebud School,"Buddhanagar, Kathmandu",Mid Level,"NRs. 40,000 - 50,000 Monthly","Develop and implement age-appropriate health and physical education curriculum for students in classes 4 and 5.Plan and deliver engaging lessons that promote physical fitness, motor skills development, and healthy lifestyle choices.Monitor and maintain a safe and inclusive learning environment during physical activities and games.Collaborate with colleagues to integrate health and physical education concepts into other subject areas and school-wide initiatives.Communicate effectively with students, parents, and colleagues regarding student progress, concerns, and achievements.Participate in professional development opportunities to stay current with best practices in health and physical education instruction.Organize and supervise extracurricular activities, such as sports teams, intramural programs, and fitness clubs.Perform other duties as assigned by the school administration."
Middle School Computer Teacher …,Rosebud School,"Buddhanagar, Kathmandu, Nepal",Mid Level,"NRs. 40,000 - 50,000 Monthly","Develop and implement a comprehensive computer science curriculum for students aligned with educational standards and learning objectives.Plan and deliver engaging lessons that cover a range of topics, including basic computer skills, coding fundamentals, digital citizenship, and technology applications.Assess student learning through formative and summative assessments, providing constructive feedback and support to students.Foster a positive and inclusive learning environment where students feel empowered to explore, create, and innovate with technology.Collaborate with colleagues to integrate technology into cross-curricular projects and school-wide initiatives.Communicate effectively with students, parents, and colleagues regarding student progress, concerns, and achievements in computer science."
Nepali Teacher (Grades 4 & 5),Rosebud School,"Buddhanagar, Kathmandu, Nepal",Mid Level,"NRs. 40,000 - 50,000 Monthly","Plan and deliver engaging and comprehensive Nepali language lessonsDevelop lesson plans and deliver instructionsAssess students' performance and provide feedbackMonitor students' progress and provide guidance and supportParticipate in collaborative activities with other teachers and staffMaintain accurate record of students' performanceAssist in the development of students’ social, emotional and academic growth"
"Grade Teacher (Grades 1, 2 & 3)",Rosebud School,"Buddhanagar, Kathmandu, Nepal",Mid Level,"NRs. 40,000 - 50,000 Monthly","Plan and deliver age appropriate lesson plan for learners that align with the curriculum objectives and educational standards.Plan and execute a nurturing and inclusive classroom environment where students feel safe, respected and motivated to learn.Plan and deliver engaging lessons that cover a range of English language skills, including reading comprehension, writing, vocabulary development, grammar, and literary analysis.Facilitate classroom discussions and activities that encourage active participation, critical thinking, and interpretation of literary works.Provide constructive feedback and support to students through formative and summative assessments, including written assignments, projects, presentations, and exams.Collaborate with colleagues to develop cross-curricular projects, literacy initiatives, and school-wide events that promote English language proficiency and literacy skills.Stay current with developments in the field of English and literature education, participating in professional development activities and networking with colleagues.Maintain good parents-teacher relation to keep them updated about the ongoing learning achievements of children in the class."
Client Support Assistant,Merojob,"Ganapati Bhawan, New Baneshwor Rd, Kathmandu",Entry Level,"NRs. 19,000 - 20,000 Monthly","Communicate with clients to understand their requirements and provide appropriate services.Regularly follow up on service delivery, post-service feedback, and payment collection.Draft, review, and post job vacancies on Merojob’s portal.Ensure job descriptions are clear, accurate, and aligned with client needs.Review and validate job postings to maintain quality, accuracy, and relevance.Track payments and follow up on outstanding invoices to ensure timely collections.Work with cross-functional teams to address client requests and concerns efficiently.Provide excellent client support and ensure high levels of customer satisfaction.Perform work as assigned by the supervisor/HOD in a timely and effective manner."
Front Desk Officer,Sky Overseas Services,"Pragati Tole Marg, Dhumbarahi, Kathmandu",Mid Level,"NRs. 20,000 - 25,000 Monthly","Greet customers professionally and warmly.Provide relevant information regarding new job requirements to customers.Observe the customer's communication skills and overall attitude.Advise candidates on suitable job positions based on their qualifications and experience.Pre-screen potential candidates according to the job description and company requirements.Confirm candidates' health status and physical fitness to ensure eligibility.Verify all submitted documents to detect any fraudulent submissions.Scan and photocopy candidates' documents for recruitment purposes.Upload essential documents, such as CVs, licenses, passports, experience certificates, and training certificates, into the system.Collect and securely store original passports from selected candidates, maintaining a record by applicant number.Maintain and update the database of potential candidates' CVs based on their applicant ID.Ensure the right candidate is selected for the appropriate position.Source applicants through various channels, including FM radio, national newspapers, Facebook, Instagram, Google, and the company website.Prepare ""No Sub-Agent Used"" declaration forms for applicants.Maintain a friendly, polite, and professional demeanor while dealing with people.Ensure the front desk area remains clean and organized.Arrange candidates in an orderly queue and ensure fairness in the selection process.Report all relevant updates and concerns to the consultant."
AP Accountant,Logpoint Nepal,"Kathmandu, Nepal",Mid Level,Not Disclosed,"Handling the invoice process of vendors: verify invoices, route into approval process  and follow up for timely approval, communicate with vendors, if necessary, record in  accounting system with supporting documents and process for the payment as per the  terms and company practice. Handling the employee expenses: verify invoices/expenses, route into approval process  and follow up for timely approval, communicate with employees, if needed, and make  balance available in account or process reimbursement, if applicable. Recording customers’ payments and matching the payments received. Maintaining supporting documents of each transaction in systematic manner using ERP  System. Processing bank statements and preparing reconciliation report of bank balances.Preparation reconciliation report of sub-ledgers like fixed assets, receivable, payable,  deferral and prepayments.  Scrutinize the ledger balance and transactions on a periodical basis and book necessary  entries for proper classification, grouping, resolving discrepancies, if any, in  collaboration with Finance Controller/Manager Assist in preparing monthly, quarterly and adhoc reports to Finance Controller or  Manager. Complying with VAT and any other statutory duties, applicable while recording the  entries. Collaborate with HQ finance team for finance tasks assigned for global entities of the  company. Any other tasks assigned by line manager or the management on time to time basis."
Interior Designer/Jr. Architect…,ByProxy Nepal (Blinqlab),"Kumaripati, Lalitpur",Mid Level,Not Disclosed,"Holds a Diploma/ Bachelor’s in Architecture or a relevant degree.Have Knowledge to use different 3D software like sketchup, Vray, Lumion, D5 etc.Possesses the ability to solve problems creatively and effectively.Have good communication skill, both verbally and in writing.Have an eye for detail."
Lower Secondary Science And Mat…,Bodhisattva Vihara (BV),"Budhanilkantha-03, Kathmandu",Mid Level,"NRs. 20,000 - 27,000 Monthly","Develop and implement lesson plans in accordance with the school's curriculum and educational standards.Teach engaging and interactive science and maths lessons to lower secondary students.Utilize a variety of teaching methods and resources to cater to the individual learning needs of students.Create a positive and inclusive learning environment that promotes academic excellence and personal growth.Assess student progress and provide timely feedback to students and parents.Collaborate with colleagues to develop and improve the science and maths curriculum.Participate in school events and extracurricular activities.Communicate effectively with students, parents, and colleagues."
Assistant Cook,Bodhisattva Vihara (BV),"Budhanilkantha-03, Kathmandu",Mid Level,"NRs. 20,000 - 25,000 Monthly","Preparing ingredients by washing, chopping, peeling, and cutting vegetables, fruits, and meats.Assisting in the preparation of dishes according to recipes and instructions.Assisting with cooking tasks, such as sautéing, grilling, or baking, under the guidance of the Head Cook.Ensuring food is prepared and presented in a timely manner."
Site Engineer - Hospitality,RV Group,"RV GROUP, Bhagwati Bahal, Naxal",Mid Level,Not Disclosed,"Conduct site Supervision and Controls to ensure compliance with project plans and specificationsCollaborate with project managers, architects, and contractors to ensure timely and efficient completion of projectsReview and approve construction materials and methods to ensure quality and safety standards are metMonitor project progress and provide regular updates to project stakeholdersIdentify and resolve any issues or challenges that may arise during the construction processConduct regular quality control checks to ensure workmanship meets project standardsManage project budget and track expenses to ensure projects stay within budgetEnsure compliance with all building codes and regulationsMentor and train junior engineers and construction staffMaintain accurate project documentation and reportsContinuously seek opportunities to improve processes and increase efficiency on site"
Education Facilitator,Numbur Vocational Training Centre,"Soludhudhunkunda Municipality-7, Garma",Mid Level,Not Disclosed,Mathematics - 1English - 1Sustainable Development - 1Information Technology (IT) / Microsoft Office Usage -1Management Accounting - 1
Social Mobilizer / Field Sales,Community Impact Nepal,Province 1,Mid Level,"NRs. 30,000 - 40,000 Monthly","Travel around to meet with potential customersMake sales calls, follow-up and visitsRespond to incoming inquiriesMake meetings and presentations, represent the company in events"
Counselor,Enlighten International Education,"Bagbazar-28, Kathmandu",Mid Level,"NRs. 30,000 - 40,000 Monthly","Handle Education Counseling Wing for USA, UK, Australia, New Zealand & Canada &  other countries in a professional manner.Be updated with the information related to various  universities and colleges abroad and institutions represented by the company. Well aware about the immigration policies and provide accurate information to students/ clients about study abroad visa & admission process.Prepare and execute plans and ideas based on marketing  activities, increase sales and students satisfaction.Make weekly reports and regularly follow up with clients and report to the line Manager/ concern authority."
Compliance and Risk Officer,Samriddhi Finance Company Limited,"Kathmandu , Nepal",Mid Level,Not Disclosed,Establish an integrated risk management framework for all aspects of risks in the organization.Develop risk management policies.Provide inputs in the development of new policy and product paper.
Brand Promoter,Jagdamba Overseas,Kathmandu,Entry Level,"NRs. 30,000 Monthly","Engage with consumers at premium outlets and events to promote and educate them about the company’s products.Communicate the features, benefits, and usage of the product in a polished, professional, and persuasive manner.Build and maintain strong relationships with clients, outlets, and event organizers.Ensure brand visibility and awareness by creating positive consumer experiences.Meet and exceed daily, monthly, and quarterly sales and engagement targets.Provide feedback and insights on consumer preferences and market trends to the Sales & Marketing team.Maintain professionalism and adhere to brand guidelines while representing the company."
Accountant,Tayal Hardware,"Dhobighat-3, Ring road, lalitpur",Mid Level,"NRs. 25,000 Monthly","Ensuring accurate record of the Daily accounting operations, including Expenses, Sales, Petty cash and general ledger activities in the Accounting System.knowledge of hardware items like pipe, plain & corrugated sheet, angles, patti, etcReconciling Bank Statements, Vendor and Customer Accounts (Accounts Payables and Receivables)Maintain organized and up-to-date filing of financial documents.Assist in filing of TDS returns, VAT returns, and other statutory submissions.Support internal and external audits by providing necessary documents and reconciliations.Perform other accounting duties as assigned by the supervisor"
Principal,Himalaya College of Engineering (HCOE),"Chyasal, Lalitpur",Senior Level,Not Disclosed,"Provide strategic direction and leadership to ensure the highest standards of academic excellence.Oversee the implementation of the  curriculum, ensuring alignment with national standards.Promote innovative teaching methodologies and integrate technology into the learning processes."
Logistics Officer,B.S.R. Biotech,"Lainchaur, Kathmandu",Mid Level,Not Disclosed,"Inventory Management: Track stock levels, analyze minimum stock requirements, and maintain accurate inventory records.Sales Invoice Rate Verification: Ensure accuracy in sales invoices by verifying product rates, discounts, and terms before finalizing transactions.Vendor and Purchase Management: Develop purchase plans for difficult vendors and ensure timely procurement of required goods.Customer Coordination: Communicate with customers to understand their needs, schedule deliveries, and resolve logistics-related issues.Team Collaboration: Work closely with internal teams to streamline logistics processes and enhance overall efficiency.Software Utilization: Use company software to analyze stock, vendor purchases, and customer sales trends.Relationship Building: Establish and maintain good relationships with customers and vendors to improve service delivery."
